Résumé,Clé de ticket,Type de ticket,État,Priorité,Rapporteur,Durée(mn),Création,Description,Champs personnalisés (Action menée),Canal,Entreprise,Utilisateur,Objet principal,Champs personnalisés (Module)
Assistance - Explication en ligne - Directeur Administratif et Financier,OBCS-3268,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:55,Le plafond de la prime d'ancienneté non appliqué,Explication en ligne,Appel Téléphonique,EDIPRESSE,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-3257,Assistance,Terminé,,JOEL SIE,2,19/juin/24 10:55,Suppression des bordereaux de stock,Explication en ligne,Appel Téléphonique,SIS,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-3254,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:55,Création de compte client,Explication en ligne,Appel Téléphonique,LABOGEM,,Assistance,
Assistance - Explication en ligne - Directeur Administratif et Financier,OBCS-3253,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:55,Plafond prime d'ancienneté,Explication en ligne,Appel Téléphonique,EDIPRESSE,,Assistance,
Autres - Explication en ligne - Comptable,OBCS-3252,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:55,Prise de rendez-vous avec la gestionnaire de projet injoignable,Explication en ligne,Appel Téléphonique,AFRIC URBA,,Autres,
Assistance - Autres (Précisez dans la description) - Comptable,OBCS-3245,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:55,Relance pour utilisation - Relance pour l'enregistrement des opérations de la comptabilité,Autres (Précisez dans la description),Appel Téléphonique,LABOGEM,,Assistance,
Assistance - Autres (Précisez dans la description) - Comptable,OBCS-3244,Assistance,Terminé,,JOEL SIE,2,19/juin/24 10:55,Relance sur l'enregistrement des contrats,Autres (Précisez dans la description),Appel Téléphonique,LABOGEM,,Assistance,
Assistance - Explication en ligne - Directeur Administratif et Financier,OBCS-3243,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:55,Compte interco non mouvementé,Explication en ligne,Appel Téléphonique,EJARA,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-3242,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:55,RAPPROCHEMENT DU JOURNAL PAIE OBC ET L4ANCIENNE BASE HC,Explication en ligne,Appel Téléphonique,HC CAPITAL PROPERTIES,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-3212,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:54,Comment donner des accès,Explication en ligne,Appel Téléphonique,SIS,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-3211,Assistance,Terminé,,JOEL SIE,4,19/juin/24 10:54,enregistrement de contrat consultant,Explication en ligne,Appel Téléphonique,SIS,,Assistance,
Assistance - Explication en ligne - Assistant(e) RH,OBCS-3210,Assistance,Terminé,,JOEL SIE,5,19/juin/24 10:54,Assistance pour la similation salaire employé,Explication en ligne,Appel Téléphonique,AFRIC URBA,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-3209,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:54,Vérification des écritures de la paie,Explication en ligne,Appel Téléphonique,HC CAPITAL PROPERTIES,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-3183,Assistance,Terminé,,JOEL SIE,2,19/juin/24 10:54,Un montant sur la balance à regarder,Explication en ligne,Appel Téléphonique,HC CAPITAL PROPERTIES,,Assistance,
Relance sur Requête en cours - Redirection vers ressources OBC - Comptable,OBCS-3182,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:54,Sélection de plusieurs avance pour la retenue lors de l'enregistrement d'une facture,Redirection vers ressources OBC,Appel Téléphonique,SIS,,Relance sur Requête en cours,
Assistance - Explication en ligne - Comptable,OBCS-3129,Assistance,Terminé,,JOEL SIE,5,19/juin/24 10:53,Supprimer la programation de reglement,Explication en ligne,Appel Téléphonique,HC CAPITAL PROPERTIES,,Assistance,
Autres - Autres (Précisez dans la description) - Comptable,OBCS-3128,Assistance,Terminé,,JOEL SIE,2,19/juin/24 10:53,Prise de rendez-vous pour assistance à l'utilisation,Autres (Précisez dans la description),Appel Téléphonique,LABOGEM,,Autres,
Assistance - Explication en ligne - Comptable,OBCS-3091,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:53,Une banque figurant sur la balance sange mais non créée sur OBC,Explication en ligne,Appel Téléphonique,HC CAPITAL PROPERTIES,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-3090,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:53,Suppression d'un paiement puis la programmation,Explication en ligne,Appel Téléphonique,EJARA,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-3089,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:53,Ecritures d'un fournisseur non générées,Explication en ligne,Appel Téléphonique,EJARA,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-3088,Assistance,Terminé,,JOEL SIE,2,19/juin/24 10:53,Impossible de modifier une facture,Explication en ligne,Appel Téléphonique,EJARA,,Assistance,
Assistance - Explication en ligne - Directeur Général,OBCS-3083,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:53,Explication sur les salaires catégoriels,Explication en ligne,Appel Téléphonique,AFRIC URBA,,Assistance,
Assistance - Explication en ligne - Directeur Administratif et Financier,OBCS-3082,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:53,Plafonné la prime de panier à 25%,Explication en ligne,Appel Téléphonique,EDIPRESSE,,Assistance,
Assistance - Explication en ligne - Directeur Administratif et Financier,OBCS-3081,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:53,La prime de panier ne s'affiche pas sur les bulletins,Explication en ligne,Appel Téléphonique,EDIPRESSE,,Assistance,
Assistance - Explication en ligne - Directeur Administratif et Financier,OBCS-3080,Assistance,Terminé,,JOEL SIE,5,19/juin/24 10:52,Intégration des rubriques,Explication en ligne,Appel Téléphonique,EDIPRESSE,,Assistance,
Assistance - Explication en ligne - Directeur Administratif et Financier,OBCS-3079,Assistance,Terminé,,JOEL SIE,2,19/juin/24 10:52,Comment vérifier le nombre de part,Explication en ligne,Appel Téléphonique,EDIPRESSE,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-3022,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:52,Editer un grand livre du compte banque,Explication en ligne,Appel Téléphonique,HC CAPITAL PROPERTIES,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-2989,Assistance,Terminé,,JOEL SIE,5,19/juin/24 10:51,Lancer le grand livre d'un poste comptable spécifique,Explication en ligne,Appel Téléphonique,ELIO GROUP,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-2988,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:51,Création d'un projet,Explication en ligne,Appel Téléphonique,LABOGEM,,Assistance,
Assistance - Explication en ligne - Chef de Projet,OBCS-2986,Assistance,Terminé,,JOEL SIE,4,19/juin/24 10:51,Pointage du RAN et de la balance 2023,Explication en ligne,Appel Téléphonique,KORI TRANSPORT,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-2985,Assistance,Terminé,,JOEL SIE,8,19/juin/24 10:51,Vérification de la balnce après pointage,Explication en ligne,Appel Téléphonique,SIS,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-2968,Assistance,Terminé,,JOEL SIE,5,19/juin/24 10:51,Programmation de salaire,Explication en ligne,Appel Téléphonique,HC CAPITAL PROPERTIES,,Assistance,
Assistance - Explication en ligne - Ingénieur travaux,OBCS-2955,Assistance,Terminé,,JOEL SIE,2,19/juin/24 10:51,Enregistrement opération de caisse,Explication en ligne,Appel Téléphonique,LABOGEM,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-2951,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:51,Un projet ne s'affiche pas à l'enregistrement de la facture,Explication en ligne,Appel Téléphonique,SIS,,Assistance,
Assistance - Autres (Précisez dans la description) - Comptable,OBCS-2950,Assistance,Terminé,,JOEL SIE,2,19/juin/24 10:51,Avoir le niveau d'avancement sur l'enregistrement des contrats,Autres (Précisez dans la description),Appel Téléphonique,LABOGEM,,Assistance,
Autres - Autres (Précisez dans la description) - Comptable,OBCS-2949,Assistance,Terminé,,JOEL SIE,4,19/juin/24 10:51,Appel pour avoir l'évolution sur l'utilisation - Appel pour voir s'ils ont des difficultés à l'utilisation,Autres (Précisez dans la description),Appel Téléphonique,LABOGEM,,Autres,
Assistance - Explication en ligne - Directeur Administratif et Financier,OBCS-2923,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:41,Exportation des journaux,Explication en ligne,Appel Téléphonique,KORI TRANSPORT,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-2921,Assistance,Terminé,,JOEL SIE,2,19/juin/24 10:41,Une lenteure constaté à leur niveau,Explication en ligne,Appel Téléphonique,LABOGEM,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-2800,Assistance,Terminé,,JOEL SIE,1,19/juin/24 10:39,Un projet ne s'affiche pas dans le devis,Explication en ligne,Appel Téléphonique,HC CAPITAL PROPERTIES,,Assistance,
Relance sur Requête en cours - Redirection vers ressources OBC - Directeur Administratif et Financier,OBCS-2774,Assistance,Terminé,,JOEL SIE,2,19/juin/24 10:39,Suppression de deux journaux journaux,Redirection vers ressources OBC,Appel Téléphonique,EJARA,,Relance sur Requête en cours,
Assistance - Explication en ligne - Comptable,OBCS-2773,Assistance,Terminé,,JOEL SIE,2,19/juin/24 10:39,Resolution de la requete de la TVA sur service,Explication en ligne,Appel Téléphonique,ELIO GROUP,,Assistance,
Autres - Explication en ligne - Assistant(e) de direction,OBCS-2772,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:39,Planifier une séance de formation en google meet,Explication en ligne,Appel Téléphonique,FIRST CAPITAL,,Autres,
Assistance - Explication en ligne - Comptable,OBCS-2771,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:38,Création d'accès d'un nouveau utilisateur,Explication en ligne,Appel Téléphonique,FIRST CAPITAL,,Assistance,
Autres - Explication en ligne - Directeur des Ressources Humaines,OBCS-2770,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:38,Informer sur la mise a jour du des salaires de base catégoriel et prise de rendez-vous,Explication en ligne,Appel Téléphonique,ARIC,,Autres,
Assistance - Explication en ligne - Comptable,OBCS-2769,Assistance,Terminé,,JOEL SIE,6,19/juin/24 10:38,Les écritures liées à la TVA due,Explication en ligne,Appel Téléphonique,ELIO GROUP,,Assistance,
Assistance - Explication en ligne - Assistant(e) RH,OBCS-2767,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:38,Explication sur le cas du message d'erreur au lancement de la paie,Explication en ligne,Appel Téléphonique,ELIO GROUP,,Assistance,
Assistance - Explication en ligne - Assistant(e) RH,OBCS-2766,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:38,Message d'erreur au lancement de la paie,Explication en ligne,Appel Téléphonique,ELIO GROUP,,Assistance,
Assistance - Explication en ligne - Directeur Général,OBCS-2765,Assistance,Terminé,,JOEL SIE,2,19/juin/24 10:38,TVA non générée à l'enregistrement des impots et taxes,Explication en ligne,Appel Téléphonique,ELIO GROUP,,Assistance,
Assistance - Explication en ligne - Directeur Général,OBCS-2764,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:38,Explication sur les paiement salaire programmé,Explication en ligne,Appel Téléphonique,ELIO GROUP,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-2759,Assistance,Terminé,,JOEL SIE,2,19/juin/24 10:38,Prise de rendez-vous,Explication en ligne,Appel Téléphonique,HC CAPITAL PROPERTIES,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-2758,Assistance,Terminé,,JOEL SIE,24,19/juin/24 10:38,Impots et taxes: La TVA est récupérée sur OBC,Explication en ligne,Appel Téléphonique,ELIO GROUP,,Assistance,
Autres - Explication en ligne - Assistant(e) RH,OBCS-2757,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:38,Demande de rendez-vous,Explication en ligne,Appel Téléphonique,AFRIC URBA,,Autres,
Assistance - Explication en ligne - Directeur Administratif et Financier,OBCS-2756,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:38,Voir le nombre de jour acquis renseigné dans le paramétrage entité,Explication en ligne,Appel Téléphonique,EJARA,,Assistance,
Assistance - Explication en ligne - Directeur Administratif et Financier,OBCS-2741,Assistance,Terminé,,JOEL SIE,4,19/juin/24 10:38,Explication du salaire moyen journalier au niveau de l'allocation,Explication en ligne,Appel Téléphonique,EJARA,,Assistance,
Assistance - Explication en ligne - Directeur Administratif et Financier,OBCS-2737,Assistance,Terminé,,JOEL SIE,2,19/juin/24 10:38,Tester l'enrgistrement de l'opération caisse,Explication en ligne,Appel Téléphonique,EJARA,,Assistance,
Assistance - Explication en ligne - Directeur Administratif et Financier,OBCS-2736,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:38,Un message d'erreur,Explication en ligne,Appel Téléphonique,EJARA,,Assistance,
Assistance - Autres (Précisez dans la description) - Directeur Administratif et Financier,OBCS-2675,Assistance,Terminé,,JOEL SIE,2,19/juin/24 10:37,Relance sur le démarrage effectif d'utilisation,Autres (Précisez dans la description),Appel Téléphonique,LABOGEM,,Assistance,
Assistance - Autres (Précisez dans la description) - Responsable QHSE,OBCS-2674,Assistance,Terminé,,JOEL SIE,2,19/juin/24 10:37,Relance pour le mannuel de procedure,Autres (Précisez dans la description),Appel Téléphonique,LABOGEM,,Assistance,
Assistance - Explication en ligne - Assistant(e) RH,OBCS-2673,Assistance,Terminé,,JOEL SIE,6,19/juin/24 10:37,Importation du RAN,Explication en ligne,Appel Téléphonique,WITTI,,Assistance,
Assistance - Séance Google Meet/Zoom - Assistant(e) RH,OBCS-2672,Assistance,Terminé,,JOEL SIE,20,19/juin/24 10:37,Vérification des contrats (catégories et les salaires de base),Séance Google Meet/Zoom,"Online (Google Meet, Teams...)",AFRIC URBA,,Assistance,
Assistance - Redirection vers ressources OBC - Comptable,OBCS-2671,Assistance,Terminé,,JOEL SIE,2,19/juin/24 10:37,Le compte d'attente non pris en compte à l'enregistrement d'une opération de caisse,Redirection vers ressources OBC,Appel Téléphonique,SIS,,Assistance,
Assistance - Explication en ligne - Assistant(e) RH,OBCS-2670,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:37,Message d'erreur au lancement de la paie dû au contrat dont le type de contrat est diffent de la date de fin,Explication en ligne,Appel Téléphonique,ELIO GROUP,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-2669,Assistance,Terminé,,JOEL SIE,2,19/juin/24 10:37,Message d'erreur,Explication en ligne,Appel Téléphonique,ELIO GROUP,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-2634,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:36,Allocation congés,Explication en ligne,Appel Téléphonique,EJARA,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-2629,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:36,Edition du grand livre sur des postes comptable spécifique,Explication en ligne,Appel Téléphonique,ELIO GROUP,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-2627,Assistance,Terminé,,JOEL SIE,19,19/juin/24 10:36,Les soldes repportés à l'édition d'une balance sur une période ne correspondent pas aux soldes de la période précédente,Explication en ligne,Appel Téléphonique,SIS,,Assistance,
Assistance - Redirection vers ressources OBC - Responsable des marchés,OBCS-2625,Assistance,Terminé,,JOEL SIE,4,19/juin/24 10:36,Impossible d'imprimer un devis non validé,Redirection vers ressources OBC,Appel Téléphonique,ELIO GROUP,,Assistance,
Assistance - Explication en ligne - Assistant(e) RH,OBCS-2624,Assistance,Terminé,,JOEL SIE,5,19/juin/24 10:36,Assistance sur le simulateur et comment voir le taux d'accident de travail,Explication en ligne,Appel Téléphonique,HC CAPITAL PROPERTIES,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-2622,Assistance,Terminé,,JOEL SIE,4,19/juin/24 10:36,Relance pour la mise à jour des contrats,Explication en ligne,Appel Téléphonique,AFRIC URBA,,Assistance,
Autres - Autres (Précisez dans la description) - Comptable,OBCS-2621,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:36,Prendre le motif du rendez-vous demandé - Rendez-vous demandé pour séance sur le dashboard,Autres (Précisez dans la description),Appel Téléphonique,HC CAPITAL PROPERTIES,,Autres,
Assistance - Explication en ligne - Comptable,OBCS-2620,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:36,Une facture soldé figurant dans la liste des factures à encaisser,Explication en ligne,Appel Téléphonique,ELIO GROUP,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-2619,Assistance,Terminé,,JOEL SIE,2,19/juin/24 10:36,Une facture soldé figurant dans la liste des factures a encaisser,Explication en ligne,Appel Téléphonique,ELIO GROUP,,Assistance,
Assistance - Explication en ligne - Caissier(ère),OBCS-2617,Assistance,Terminé,,JOEL SIE,2,19/juin/24 10:36,Assistance pour l'explication sur le solde de la caisse,Explication en ligne,Appel Téléphonique,AFRIC URBA,,Assistance,
Assistance - Explication en ligne - Caissier(ère),OBCS-2591,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:36,Vérification du solde de la caisse qui est négative,Explication en ligne,Appel Téléphonique,AFRIC URBA,,Assistance,
Assistance - Explication en ligne - Caissier(ère),OBCS-2590,Assistance,Terminé,,JOEL SIE,5,19/juin/24 10:36,Explication du repport du solde de la caisse d'un mois à un autre,Explication en ligne,Appel Téléphonique,AFRIC URBA,,Assistance,
Assistance - Autres (Précisez dans la description) - Directeur Administratif et Financier,OBCS-2589,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:36,Appel pour confirmation de rendez-vous,Autres (Précisez dans la description),Appel Téléphonique,LABOGEM,,Assistance,
Assistance - Explication en ligne - Assistant(e) RH,OBCS-2588,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:36,Demande de rdv pour une séance de travail,Explication en ligne,Appel Téléphonique,HC CAPITAL PROPERTIES,,Assistance,
Assistance - Explication en ligne - Assistant(e) RH,OBCS-2587,Assistance,Terminé,,JOEL SIE,6,19/juin/24 10:36,Explication du workflow non prise en compte dû au mail enregistré dans le fichier du personnel qui different du mail des accès,Explication en ligne,Appel Téléphonique,ELIO GROUP,,Assistance,
Assistance - Explication en ligne - Assistant(e) RH,OBCS-2586,Assistance,Terminé,,JOEL SIE,5,19/juin/24 10:36,Le workflow de validation pour les demandes d'absence non déclanché,Explication en ligne,Appel Téléphonique,ELIO GROUP,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-2585,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:36,Possibilité de regler les fgactures avec un cheque dont le montant est plus que la facture,Explication en ligne,Appel Téléphonique,ELIO GROUP,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-2574,Assistance,Terminé,,JOEL SIE,5,19/juin/24 10:36,Possibilité de faire un règlement dont le montant est plus que la facture,Explication en ligne,Appel Téléphonique,ELIO GROUP,,Assistance,
Assistance - Explication en ligne - Assistant(e) RH,OBCS-2573,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:36,Demande d'absence donner accès à tous les utilisateurs,Explication en ligne,Appel Téléphonique,ELIO GROUP,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-2572,Assistance,Terminé,,JOEL SIE,4,19/juin/24 10:36,Possibilité de filtrer par entrée ou sortie de caisse,Explication en ligne,Appel Téléphonique,ELIO GROUP,,Assistance,
Assistance - Explication en ligne - Responsable des marchés,OBCS-2571,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:36,Bouton imprimé est grisé,Explication en ligne,Appel Téléphonique - BIS,ELIO GROUP,,Assistance,
Assistance - Explication en ligne - Responsable des marchés,OBCS-2570,Assistance,Terminé,,JOEL SIE,7,19/juin/24 10:36,Processus de validation groupé,Explication en ligne,Appel Téléphonique,ELIO GROUP,,Assistance,
Relance sur Requête en cours - Redirection vers ressources OBC - Comptable,OBCS-2568,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:36,Possibilité d'imprimer les expressions de besoin,Redirection vers ressources OBC,Appel Téléphonique,ELIO GROUP,,Relance sur Requête en cours,
Assistance - Explication en ligne - Caissier(ère),OBCS-2560,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:35,Explication sur le sode de la caisse qui est sans le RAN,Explication en ligne,Appel Téléphonique,AFRIC URBA,,Assistance,
Assistance - Explication en ligne - Directeur Administratif et Financier,OBCS-2548,Assistance,Terminé,,JOEL SIE,2,19/juin/24 10:35,Ecriture à supprimer dans le grand livre,Explication en ligne,Appel Téléphonique,EJARA,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-2544,Assistance,Terminé,,JOEL SIE,4,19/juin/24 10:35,Déséquilibre de la balance du 01/01/2022 au 31/05/2022,Explication en ligne,Appel Téléphonique,SIS,,Assistance,
Assistance - Séance Google Meet/Zoom - Comptable,OBCS-2532,Assistance,Terminé,,JOEL SIE,80,19/juin/24 10:35,Traitement des journaux suivi des importations,Séance Google Meet/Zoom,Appel Téléphonique,WITTI,,Assistance,
Assistance - Autres (Précisez dans la description) - Comptable,OBCS-2512,Assistance,Terminé,,JOEL SIE,6,19/juin/24 10:35,Appeler pour comprendre les taxes à intégrer - Demande d'intégration des taxes,Autres (Précisez dans la description),Appel Téléphonique,KORI TRANSPORT,,Assistance,
Assistance - Redirection vers ressources OBC - Comptable,OBCS-2511,Assistance,Terminé,,JOEL SIE,2,19/juin/24 10:35,Demande de suppression d'une écriture dans le journal,Redirection vers ressources OBC,Appel Téléphonique,EJARA,,Assistance,
Assistance - Explication en ligne - Directeur Administratif et Financier,OBCS-2510,Assistance,Terminé,,JOEL SIE,2,19/juin/24 10:35,Demande de suppression d'une écriture dans le journal,Explication en ligne,Appel Téléphonique,EJARA,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-2501,Assistance,Terminé,,JOEL SIE,19,19/juin/24 10:35,Enregistrement facture achat suivi de la programmation,Explication en ligne,Appel Téléphonique,AFRIC URBA,,Assistance,
Assistance - Explication en ligne - Directeur Administratif et Financier,OBCS-2496,Assistance,Terminé,,JOEL SIE,6,19/juin/24 10:35,Des comptes du RAN inexistant dans le plan comptable tiers,Explication en ligne,Appel Téléphonique,EJARA,,Assistance,
Assistance - Explication en ligne - Caissier(ère),OBCS-2495,Assistance,Terminé,,JOEL SIE,2,19/juin/24 10:35,Assistance pour enregistrement des sorties de caisse,Explication en ligne,Appel Téléphonique,AFRIC URBA,,Assistance,
Assistance - Explication en ligne - Caissier(ère),OBCS-2494,Assistance,Terminé,,JOEL SIE,21,19/juin/24 10:35,Assistance pour l'enregistrement des dépenses opérations de caisse,Explication en ligne,Appel Téléphonique,AFRIC URBA,,Assistance,
Assistance - Explication en ligne - Directeur Administratif et Financier,OBCS-2490,Assistance,Terminé,,JOEL SIE,2,19/juin/24 10:34,Informer sur une notification reçu pour des postes comptable inexistant,Explication en ligne,Appel Téléphonique,EJARA,,Assistance,
Assistance - Autres (Précisez dans la description) - Comptable,OBCS-2482,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:34,bug sur la caisse - Message d'erreur lorqu'on clique sur opération de caisse,Autres (Précisez dans la description),Appel Téléphonique,ELIO GROUP,,Assistance,
Autres - Autres (Précisez dans la description) - Comptable,OBCS-2478,Assistance,Terminé,,JOEL SIE,4,19/juin/24 10:34,Relance pour les mails - Relance pour les mails à créer,Autres (Précisez dans la description),Appel Téléphonique,LABOGEM,,Autres,
Assistance - Explication en ligne - Caissier(ère),OBCS-2477,Assistance,Terminé,,JOEL SIE,5,19/juin/24 10:34,Assistance à l'enregistrement d'une sortie,Explication en ligne,Appel Téléphonique,AFRIC URBA,,Assistance,
Assistance - Explication en ligne - Assistant(e) RH,OBCS-2476,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:34,Prime d'ancienté non prise en compte à cause de la date du contrat qui n'était pas juste,Explication en ligne,Appel Téléphonique,ELIO GROUP,,Assistance,
Assistance - Explication en ligne - Assistant(e) RH,OBCS-2433,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:03,Explication sur la diffenrence liée à la prime d'ancienété non prise en compte,Explication en ligne,Appel Téléphonique,ELIO GROUP,,Assistance,
Assistance - Explication en ligne - Assistant(e) RH,OBCS-2432,Assistance,Terminé,,JOEL SIE,6,19/juin/24 10:03,Définition des éléments variables,Explication en ligne,Appel Téléphonique,KORI TRANSPORT,,Assistance,
Assistance - Explication en ligne - Directeur Administratif et Financier,OBCS-2431,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:03,IMPORTATION DES POSTES COMPTABLE,Explication en ligne,Appel Téléphonique,EJARA,,Assistance,
Assistance - Explication en ligne - Assistant(e) RH,OBCS-2430,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:03,VERIFICATION DES SALAIRES DU MOIS DE JUILLET,Explication en ligne,Appel Téléphonique,ELIO GROUP,,Assistance,
Assistance - Explication en ligne - Directeur Administratif et Financier,OBCS-2416,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:03,Explication sur le nouveau formulaire de la caisse,Explication en ligne,Appel Téléphonique,EJARA,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-2415,Assistance,Terminé,,JOEL SIE,4,19/juin/24 10:03,Mise à jour du niuveau formulaire de la caisse,Explication en ligne,Appel Téléphonique,ELIO GROUP,,Assistance,
Assistance - Explication en ligne - Assistant(e) RH,OBCS-2399,Assistance,Terminé,,JOEL SIE,15,19/juin/24 10:02,SIMULATEUR DE PAIE,Explication en ligne,Appel Téléphonique,KORI TRANSPORT,,Assistance,
Assistance - Explication en ligne - Assistant(e) RH,OBCS-2398,Assistance,Terminé,,JOEL SIE,5,19/juin/24 10:02,Définition des élément variable,Explication en ligne,Appel Téléphonique,KORI TRANSPORT,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-2397,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:02,Requete,Explication en ligne,Appel Téléphonique,SIS,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-2396,Assistance,Terminé,,JOEL SIE,5,19/juin/24 10:02,ASSISTANCE SUR VOIR UNE ECRITURES NON PASSEE CORRECTEMENT,Explication en ligne,Appel Téléphonique,SIS,,Assistance,
Relance sur Bug en cours - Autres (Précisez dans la description) - Comptable,OBCS-2395,Assistance,Terminé,,JOEL SIE,1,19/juin/24 10:02,SIGNALER UN BUG,Autres (Précisez dans la description),Appel Téléphonique,ELIO GROUP,,Relance sur Bug en cours,
Assistance - Autres (Précisez dans la description) - Assistant(e) RH,OBCS-2394,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:02,RESOLUTION DU BUG LIE A LA SUPPRESSION DE PROGRAMMATION DE PAIEMENT SALAIRE,Autres (Précisez dans la description),Appel Téléphonique,ELIO GROUP,,Assistance,
Assistance - Autres (Précisez dans la description) - Assistant(e) RH,OBCS-2381,Assistance,Terminé,,JOEL SIE,2,19/juin/24 10:02,Relance sur la resolution d'un BUG - Impossible de supprimer la programmation de la paie,Autres (Précisez dans la description),Appel Téléphonique,ELIO GROUP,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-2374,Assistance,Terminé,,JOEL SIE,34,19/juin/24 10:02,Problème sur les écritures avances,Explication en ligne,Appel Téléphonique,SIS,,Assistance,
Assistance - Autres (Précisez dans la description) - Comptable,OBCS-2372,Assistance,Terminé,,JOEL SIE,1,19/juin/24 10:02,Relance pour une séance de travail,Autres (Précisez dans la description),Appel Téléphonique,SIS,,Assistance,
Assistance - Explication en ligne - Assistant(e) RH,OBCS-2371,Assistance,Terminé,,JOEL SIE,2,19/juin/24 10:02,Annulation du salaire d'un employé et relancer la paie de celui si,Explication en ligne,Appel Téléphonique,ELIO GROUP,,Assistance,
